,news_title,news_details,source_name,event
20,अब झारखंड में हिजाब पर बवाल; महिला कॉलेज में हिजाब पहनकर आई छात्राओं को रोका,झारखंड के जमशेदपुर में सामने आए इस मामले के बाद इस मुद्दे को लेकर ऑल इंडिया माइनॉरिटी सोशल वेलफेयर फ्रंट ने विरोध दर्ज कराया है.,ZEE News,Hijab Controversy
21,"कर्नाटक में बिना हिजाब के कक्षा में पहुंची छात्रा, प्रिंसिपल ने दिया ये बयान","प्रधानाचार्य ने बताया कि नोटिस का जवाब देने वाली एक छात्रा शनिवार को कक्षा में शामिल हुई. कक्षा में विनायक दामोदर सावरकर की तस्वीर टांगने वाले कुछ छात्रों को लेकर 10 जून को छात्रों के दो समूहों के बीच झड़प के बारे में पूछे जाने पर, राय ने कहा कि कॉलेज के अधिकारियों ने घटना से संबंधित कोई शिकायत दर्ज नहीं कराई है.",ZEE News,Hijab Controversy
22,"जहां हुआ था हिजाब विवाद, पहले से ज्यादा मुस्लिम लड़कियों ने लिए उस कॉलेज में एडमिशन",उडुपी कॉलेज ने बताया है कि पिछले साल के मुकाबले उस कॉलेज में ज्यादा मुस्लिम लड़कियों ने दाखिले के लिए आवेदन किए हैं.,ZEE News,Hijab Controversy
23,हिजाब को लेकर मंगलुरु यूनिवर्सिटी में शुरू हुआ बवाल,कर्नाटक के स्कूलों कॉलेजों में हिजाब पर विवाद नहीं थम रहा है. हाईकोर्ट के आदेश के बावजूद मंगलुरु यूनिवर्सिटी में कई छात्राएं हिजाब पहनकर पहुंची तो हिंदू छात्र-छात्राओं ने भी विरोध किया.,ZEE News,Hijab Controversy
24,"कर्नाटक में थमा नहीं हिजाब विवाद, अब मंगलुरु यूनिवर्सिटी में शुरू हुआ ताजा बवाल",कर्नाटक में फिर से हिजाब को लेकर बवाल शुरू हो गया है. मंगलुरु यूनिवर्सिटी में हिजाब पहनकर आ रही मुस्लिम छात्राओं के विरोध में हिंदू स्टूडेंट्स ने भी केसरिया साफा पहनने का ऐलान कर दिया है.,ZEE News,Hijab Controversy
25,"मुस्लिम लड़कियां हिजाब पहन कर कर रही हैं क्लास, कॉलेज कैंपस में विरोध प्रदर्शन शुरू",कर्नाटक में हिजाब को लेकर एक बार फिर विवाद शुरू हो गया है. कॉलेज के कुछ छात्रों ने दावा किया है कि मुस्लिम लड़कियां हिजाब पहन क्लास में पढ़ाई कर रही हैं.,ZEE News,Hijab Controversy
26,"भारत में हिमायत और अफगानिस्तान में खिलाफत, हिजाब पर दिखा मलाला का दोगला चेहरा",Malala Yousafzai on Taliban Hijab Order to Afghan Women: भारत में हिजाब की जोरदार हिमायत करने वाली पाकिस्तान की सोशल एक्टिविस्ट मलाला यूसुफजई (Malala Yousafzai) का दोगला चेहरा फिर सामने आ गया है. मलाला ने अफगानिस्तान में हिजाब अनिवार्य किए जाने पर चिंता जताई है.,ZEE News,Hijab Controversy
27,"गाजियाबाद पहुंचा हिजाब विवाद, छात्राओं ने किया विरोध प्रदर्शन, जाने क्या है मामला",हिजाब विवाद की लपटें अब उत्तर प्रदेश के गाजिबाद तक पहुंच गई हैं. यहां हिजाब को लेकर प्रदर्शन करने का एक मामला सामने आाय है. कुछ छात्राएं हिजाब पहन कर प्रिंसिपल के कमरे में गईं थीं. प्रिंसिपल ने हिजाब वाली लड़कियों से बात करने से मना कर दिया और उन्हें बाहर जाने को कहा दिया.,ZEE News,Hijab Controversy
28,कर्नाटक से जम्मू पहुंचा हिजाब विवाद,"बारामुला के एक स्कूल में हिजाब की पाबंदी के बाद सियासत गरमा गई है, उम्र अब्दुल्ला और मेहबूबा मुफ़्ती ने इसे धार्मिक आजादी का हक बताते हुए कहा है कि ये सब जम्मू में नहीं चलेगा",ZEE News,Hijab Controversy
29,"बुर्का पहना, हेलमेट नहीं; अब अस्पताल में जिंदगी और मौत से जूझ रही है महिला",Accident due to burqa: बुलंदशहर की रहने वाली एक महिला की इस कहानी में बहुत से सबक छिपे हैं. बुर्के को लेकर छिड़े विवाद के बीच सभी को सड़क पर चलते हुए इस बात पर भी जरूर गौर करना चाहिए.,ZEE News,Hijab Controversy
30,"जब अलकायदा सरगना ने 'हिजाब गर्ल' की तारीफ की, जानें मुस्कान के पिता ने क्या कहा",आतंकी संगठन अलकायदा के सरगना अयमान अल जवाहिरी ने हिजाब विवाद में रोल मॉडल बनी छात्रा मुस्कान खान की तारीफ भी की. इस तारीफ पर मुस्कान के परिवार वालों का रिएक्शन सामने आया है.,ZEE News,Hijab Controversy
31,Agenda India Ka: 'मुस्कान' का मुरीद Most Wanted,आतंकवादी समूह अल कायदा के सरगना अयमान अल-जवाहिरी ने एक वीडियो जारी कर हिजाब विवाद को फिर से ताजा कर दिया है. जवाहिरी ने वीडियो में कर्नाटक स्थित कॉलेज की छात्रा मुस्कान खान की प्रशंसा की है. मुस्कान वह छात्रा है जिसने कर्नाटक में ‘जय श्री राम' के नारे लगाती भीड़ के सामने ‘अल्लाह हू अकबर’ के नारे लगाए थे.,ZEE News,Hijab Controversy
32,"हिजाब विवाद के बीच वक्फ बोर्ड का बड़ा कदम, मुस्लिम छात्राओं के लिए अलग बनेंगे स्कूल",दरअसल जिस समय देशभर हिजाब का मुद्दा गर्माया हुआ था तो हर बार की तरह इस बार लोग दो हिस्सों बंट गए थे. साथ ही कुछ लोग यह भी कह रहे थे कि जिन्हें हिजाब पहनना है वो अलग स्कूल भी बना सकते हैं,ZEE News,Hijab Controversy
33,"हिजाब विवाद पहुंचा सुप्रीम कोर्ट, ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड ने कही ये बात",बोर्ड का कहना है कि कर्नाटक हाईकोर्ट ने कुरान और हदीस की गलत व्याख्या की है.,ZEE News,Hijab Controversy
34,सोमवार से कर्नाटक बोर्ड की परीक्षा; हिजाब पहनने को लेकर सरकार ने जारी किए ये आदेश,प्राथमिक एवं माध्यमिक शिक्षा मंत्री बी. सी. नागेश ने रविवार को कहा कि राज्य बोर्ड की 10वीं कक्षा की परीक्षा के दौरान हिजाब पहनने की अनुमति नहीं दी जाएगी.,ZEE News,Hijab Controversy
35,"क्लास में मुस्लिम छात्रा के नमाज पढ़ने पर बवाल, जवाब में हिंदू संगठनों ने ये किया","क्लास रूम विवाद में नमाज: मुस्लिम छात्रा क्लास में हिजाब पहनकर नमाज पढ़ रही थी, जिसका किसी ने वीडियो बना लिया और सोशल मीडिया पर वायरल कर दिया. हिंदू संगठनों ने क्लास में नमाज पढ़ने का विरोध किया है.",ZEE News,Hijab Controversy
36,"हिजाब विवाद में कूदे पूर्व CEC कुरैशी, HC के फैसले पर उठाए सवाल तो भड़क गई BJP","कर्नाटक में शुरू हुए हिजाब विवाद में अब देश के पूर्व मुख्य चुनाव आयुक्त एस वाई कुरैशी (SY Qureshi) भी कूद पड़े हैं. उन्होंने हिजाब मामले पर फैसला सुनाने वाले कर्नाटक हाई कोर्ट (Karnataka High Court) पर अभद्र टिप्पणी की है, जिस पर बीजेपी ने उन्हें आड़े हाथ ले लिया है. ",ZEE News,Hijab Controversy
37,"सागर यूनिवर्सिटी में हिजाब पहने छात्रा ने क्लासरूम में पढ़ी नमाज, हिंदू संगठन नाराज",कर्नाटक के एक कॉलेज में हिजाब पहनकर आने पर छात्राओं को कॉलेज में प्रवेश नहीं दिया गया था. जिसे लेकर खूब विवाद हुआ था.,ZEE News,Hijab Controversy
38,जयपुर के कर्बला मैदान से मुस्लिम महिलाओं ने कहा 'हम हिजाब भी पहनेंगे और पढे़ंगे भी',"कार्यक्रम में मुख्य अतिथि के तौर पर शिरकत करने के लिए हाफिज मंजूर और मुफ़्ती अखलकुर्रह्मान रहमान पहुंचे थे. यहां इन लोगों ने कार्यक्रम को संबोधित करते हुए कहा कि वर्तमान समय में कुछ ताकतें यह नहीं चाहतीं कि मुस्लिम बच्चियां पढ़ लिखकर आगे बढ़े, ",ZEE News,Hijab Controversy
39,"SC ने हिजाब विवाद पर तुरंत सुनवाई करने से किया इंकार, बच्चों के वकील ने की अपील",कर्नाटक के हिजाब विवाद को लेकर सुप्रीम कोर्ट ने दायर याचिका पर फौरन सुनवाई से मना कर दिया है.,ZEE News,Hijab Controversy
40,"इस मुस्लिम देश के स्कूल ने बुर्के पर लगाया बैन, क्लास में चेहरा ढककर आने पर रोक","बांग्लादेश के एक स्कूल में बुर्के पर रोक लगा दी गई है. स्कूल प्रशासन के इस फैसले का जमकर विरोध हो रहा है. स्टूडेंट्स स्कूल के बाहर नारेबाजी कर रहे हैं. वहीं, स्कूल का कहना है कि उसने लड़कियों की सुरक्षा को ध्यान में रखते हुए ये फैसला लिया है. ",ZEE News,Hijab Controversy
41,"हिजाबी' प्रदर्शनकारी छात्राओं को फिर लगा जोरदार झटका, कर्नाटक सरकार ने लिया फैसला",कर्नाटक में हिजाब की मांग को लेकर प्रदर्शन करने वाली छात्राओं को ऐसा करना महंगा पड़ गया है. कर्नाटक सरकार ने सख्ती दिखाते हुए उन पर बड़ा फैसला किया है.,ZEE News,Hijab Controversy
42,"""हिजाब की वजह से परीक्षा छोड़ने वालों को दोबारा एग्जाम देने का मौका नहीं मिलेगा""",मंत्री बीसी नागेश ने उन्होंने कहा कि एग्ज़ाम कॉम्पिटीटिव होती है और गैर मौजूद रहने वालों के लिए इंसानी बुनियाद पर गौर नहीं किया जा सकता.,ZEE News,Hijab Controversy
43,हिजाब विवाद को लेकर क्या है केरल के राज्यपाल आरिफ मोहम्मद खान की राय?,"हिजाब विवाद पर कर्नाटक हाई कोर्ट अपना फैसला सुना चुका है लेकिन इसे लेकर सियासत थम नहीं रही है, अब यह पूरा मामला देश की सर्वोच्च अदालत में उठाया गया है जिसकी सुनवाई होली के बाद होगी इस मुद्दे पर बात ज़ी न्यूज़ से एक्सक्लूसिव बात की केरल के राज्यपाल आरिफ मोहम्मद खान ने.",ZEE News,Hijab Controversy
44,"सुप्रीम कोर्ट हिजाब मामले की याचिका पर करेगी विचार, तुरंत सुनवाई से इनकार",हिजाब को लेकर सुप्रीम कोर्ट में लगाई गई याचिका पर पीठ ने तुरंत सुनवाई से इनकार कर दिया था. याचिका मोहम्मद आरिफ जमील और अन्य की तरफ से लगाई गई है. कर्नाटक हाई कोर्ट के हिजाब से जुड़ी सभी याचिका खारिज करने के बाद याचिकाकर्ता सुप्रीम कोर्ट पहुंचे थे.,ZEE News,Hijab Controversy
45,"कई मुस्लिम देश कर चुके हैं हिजाब से तौबा, फिर भारत में क्यों बवाल",कर्नाटक हाईकोर्ट ने स्कूलों और कॉलेजों में हिजाब पहनने मुद्दे पर बड़ा फैसला सुनाते हुए छात्राओं की सभी याचिकाओं को खारिज करते हुए कहा कि हिजाब इस्लाम का अंग नहीं है. इसके आगे कोर्ट ने शैक्षिक संस्थान को आदेश देकर कहा कि संस्थान ड्रेस कोड लागू कर सकते हैं. इस पर छात्र और छात्राएं आपत्ति व्यक्त नहीं कर सकते हैं.,ZEE News,Hijab Controversy
46,"हिजाब मामले पर हाई कोर्ट के फैसले के मायने, न्यायालय के डिसीजन में हैं तीन बड़ी बातें",कर्नाटक हाई कोर्ट ने हिजाब मामले में मंगलवार को अपना फैसला सुना दिया. अपने मनमुताबिक फैसला न आने पर मुस्लिम छात्राओं ने इस डिसीजन को मानने से इनकार कर दिया. उन्होंने कहा कि अगर हिजाब पहनने नहीं दिया गया तो वे पढ़ाई भी नहीं करेंगी.,ZEE News,Hijab Controversy
47,"हिजाब 'गैर जरूरी', विवाद क्यों जरूरी?",कर्नाटक हिजाब विवाद पर मंगलवार को कर्नाटक हाईकोर्ट ने अहम फैसला सुनाया. हाईकोर्ट ने स्कूल कॉलेजों में हिजाब बैन के फैसले को चुनौती देने वालीं याचिकाओं को खारिज कर दिया है. कोर्ट ने अपने फैसले में कहा है कि हिजाब पहनना इस्लाम का अहम हिस्सा नहीं है. इसी मुद्दे पर देखिए आज की बहस.,ZEE News,Hijab Controversy
48,"हिजाब विवाद: HC के फैसले से छात्राएं नाराज, बोली- हिजाब के बिना कॉलेज नहीं जाएंगे","कर्नाटक हाईकोर्ट ने कॉलेज में ह‍िजाब पहनने की इजाजत वाली याचिकाओं पर अपना फैसला सुनाते हुए कहा क‍ि हिजाब पहनना इस्लाम की अनिवार्य प्रथा का हिस्सा नहीं है. कोर्ट के फैसले के बाद याचिकाकर्ता छात्राओं में नाराजगी देखने को मिली, उन्होंने कहा क‍ि- 'हमें इंसाफ नहीं मिला है, हम ब‍िना ह‍िजाब के कॉलेज नहीं जाएंगे.",ZEE News,Hijab Controversy
49,केरल के राज्यपाल ने हिजाब विवाद को लेकर कोर्ट के फैसले पर महबूबा को घेरा,कर्नाटक हाई कोर्ट के हिजाब विवाद के फैसले को लेकर कई नेता अपनी-अपनी टिप्पणी दे रहे हैं. ऐसे में केरल के राज्यपाल (Arif Mohammad Khan) ने महबूबा के दिए गए बयान पर इस कश्मीरी नेता पर जमकर निशाना साधा है.,ZEE News,Hijab Controversy
50,"हिजाब मामले पर आरिफ मसूद का बड़ा बयान, कहा नहीं मानेंगे कर्नाटक HC का फैसला",Karnataka Hijab Row Verdict:,ZEE News,Hijab Controversy
51,"UP चुनाव के साथ ही शांत हो गया 'हिजाब' का मुद्दा, जानें क्या रही वजह?","कर्नाटक से शुरू हुआ हिजाब का मुद्दा इस बार यूपी विधान सभा चुनाव में भी हावी रहा. सभी राजनीतिक दलों ने इस मुद्दे का जमकर इस्तेमाल किया. हालांकि, चुनाव खत्म होते ही यह मुद्दा भी शांत हो गया.",ZEE News,Hijab Controversy
52,"हिजाब पहनकर क्लास में नहीं मिलेगी एंट्री, कर्नाटक हाईकोर्ट के फैसले पर सियासत शुरू",कर्नाटक हाईकोर् ने मुस्लिम छात्राओं की तरफ से कॉलेजों में हिजाब पहनने की अनुमति और 5 फरवरी के सरकारी आदेश को चुनौती देने वाली सभी 8 याचिकाओं को आज खारिज कर दिया.,ZEE News,Hijab Controversy
53,"हिजाब विवाद पर हाईकोर्ट का ऐतिहासिक फैसला, कहा- यह इस्लाम में अनिवार्य नहीं",हाईकोर्ट ने कर्नाटक सरकार के स्कूलों में हिजाब बैन के फैसले को असंवैधानिक मानने से भी इंकार कर दिया.,ZEE News,Hijab Controversy
54,"कर्नाटक HC के हिजाब मामले में फैसले पर ओवैसी ने दिया रिएक्शन, जानिए क्या कहा",असदुद्दीन ओवैसी ने कहा कि अल्लाह ने हिजाब और रोजा का सख्ती से पालने करने का आदेश दिया है. मैं कर्नाटक हाई कोर्ट के हिजाब पर फैसले से असहमत हूं.,ZEE News,Hijab Controversy
55,"हिजाब मामले में कर्नाटक HC के फैसले पर महबूबा मुफ्ती ने खड़े किए सवाल, कह दी ये बात",हिजाब पर कर्नाटक हाईकोर्ट के फैसले पर महबूबा मुफ्ती का रिएक्शन: याचिका दायर करके मुस्लिम छात्राओं ने मांग की थी कि उन्हें कॉलेज में हिजाब पहनने की अनुमति दी जाए. छात्राओं ने दावा किया था कि हिजाब उनके धर्म का जरूरी हिस्सा है.,ZEE News,Hijab Controversy
56,"इस्लाम का अनिवार्य हिस्सा नहीं है हिजाब, HC ने रद्द की छात्राओं का याचिका",जनवरी में उडुपी प्री-यूनिवर्सिटी गर्ल्स कॉलेज के छह छात्रों के विरोध के रूप में शुरू हुआ हिजाब विवाद एक बड़े संकट में बदल गया और अंतरराष्ट्रीय स्तर पर भी इसकी चर्चा हुई.,ZEE News,Hijab Controversy
57,"कर्नाटक हाई कोर्ट का फैसला: इस्लाम में हिजाब पहनना जरूरी नहीं, सभी याचिकाएं खारिज","कोर्ट के इस फैसले का प्रहलाद जोशी ने स्वागत किया है. उन्होंने कहा कि हम हाईकोर्ट के फैसले का स्वागत करते हैं, फैसले से शांति का माहौल बनेगा. हिजाब को लेकर कोई विवाद नहीं चाहते...",ZEE News,Hijab Controversy
58,"इस्‍लाम में हिजाब पहनना जरूरी नहीं, ये धर्म का अनिवार्य हिस्‍सा नहीं: HC", कर्नाटक हाई कोर्ट ने हिजाब को इस्लाम का अनिवार्य हिस्सा मानने से इनकार कर दिया है. मुस्लिम छात्राओं ने याचिका दायर करके कॉलेज में स्कूल यूनिफॉर्म के साथ हिजाब पहनकर आने की अनुमति की मांग की थी.,ZEE News,Hijab Controversy
59,स्कूल-कॉलेज में हिजाब पहना जा सकेगा या नहीं? कर्नाटक हाई कोर्ट आज सुनाएगा फैसला,"मुस्लिम छात्राओं की मांग है कि उनको क्लास में हिजाब पहनकर बैठने की अनुमति दी जाए, वो हिजाब को धार्मिक आस्था का हिस्सा बता रही हैं. जबकि कर्नाटक सरकार यूनिफॉर्म संबंधी नियम को लेकर अड़ी हुई है.",ZEE News,Hijab Controversy
60,UP के इस शहर में एक काॅलेज ने हिजाब पर लगाया प्रतिबंध; छात्राओं से उतरवाया बुर्का !,अलीगढ़ के श्री वाष्र्णेय कॉलेज ने शनिवार को छात्रों को निर्देश दिया कि वे कक्षा में शामिल होने के दौरान अपना चेहरा न ढकें. छात्रों का कहना है कि स्टाफ ने उन्हें अंदर जाने से मना कर दिया.,ZEE News,Hijab Controversy
61,"अलीगढ़ के एक कॉलेज ने हिजाब पर लगाया प्रतिबंध, छात्राओं ने दिया ऐसा रिएक्शन",कॉलेज की प्रशासनिक अधिकारी ने कहा कि यह नोटिस छात्रों को एक रिमाइंडर है कि कॉलेज में एक ड्रेस कोड है और इसका पालन करना होगा.,ZEE News,Hijab Controversy
