news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
"किसानों का विजय मार्च आज, 15 महीने के संघर्ष के बाद 'जीतकर' लौट रहे घर","तीन कानूनों को रद्द करने की प्रधानमंत्री नरेंद्र मोदी की घोषणा के बाद, किसान अन्य मांगों का हवाला देते हुए विरोध स्थलों पर रुके हुए थे.","शनिवार दिसम्बर 11, 2021 08:39 AM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"""पापा तो वापस नहीं आएंगे"", किसान आंदोलन में मृत किसान के बेटे का छलका दर्द",सरकार के तीनों कृषि कानून वापस लेने के बाद दूसरे प्रस्ताव पर भी किसान संगठनों से सहमति बनने के बाद किसानों ने आंदोलन खत्म करने का ऐलान किया है.,"शुक्रवार दिसम्बर 10, 2021 06:51 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"आंदोलन खत्‍म कर सकते हैं किसान, बातचीत में सकारात्‍मक संकेत : सूत्र",Farmers Protest End : सूत्रों का कहना है कि केंद्र सरकार से किसानों को पत्र भेजा गया है. सरकार MSP पर कमेटी बनाएगी. आंदोलन में हुए सारे मुक़दमे वापस होंगे. पराली जलाने पर मुक़दमे नहीं होंगे.किसान सरकार के प्रस्ताव पर चर्चा कर रहे हैं. किसान आंदोलन वापसी पर फ़ैसला ले सकते हैं,"मंगलवार दिसम्बर 7, 2021 05:21 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"राकेश टिकैत की दो टूक, 'किसानों के सारे मुद्दों के हल तक जारी रहेगा आंदोलन'","भारतीय किसान यूनियन (BKU) के राष्ट्रीय प्रवक्ता राकेश टिकैत ने साफ कहा है कि सारे मुद्दों के हल तक किसानों का आंदोलन खत्‍म नहीं होगा. NDTV से बात करते हुए टिकैत ने कहा कि सरकार बातचीत से पीछे क्‍यों हट रही है.  जब तक बातचीत नहीं होगी, समाधान नहीं होगा, हमारा आंदोलन जारी रहेगा.","सोमवार दिसम्बर 6, 2021 07:07 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"किसान आंदोलन का एक साल, कहीं चुनाव राजनीति या वर्चस्व की लड़ाई में न बिखर जाए","आज किसान आंदोलन का एक साल पूरा हुआ है. कानून वापसी के लिए शुरू हुआ यह आंदोलन किसानों को किसान बना गया. इस एक साल के दौरान किसानों ने उस पहचान को जी भरकर जिया है, जिसे किसान कहते हैं.","शुक्रवार नवम्बर 26, 2021 11:16 PM IST",NDTV News,Kisaan Andolan,Neutral,Pro Kisan,
"बॉर्डर पर 'रास्ता खोलो' आंदोलन, यूपी-दिल्ली हाईवे खुलवाने के लिए अपार्टमेंट वाले करेंगे अभियान",फेडरेशन की ओर से जारी निर्देशानुसार किसानों का ध्यान अपनी समस्याओं की ओर आकर्षित करने के लिए यहां से पैदल यात्रा निकाली जाएगी. इस आंदोलन का मकसद किसानों से राजमार्ग खोलने के लिए अपील करना है ताकि शहर में आवाजाही सामान्य हो सके.,"शुक्रवार नवम्बर 26, 2021 06:24 PM IST",NDTV News,Kisaan Andolan,,,Not related to political or social issue
"लखनऊ में किसान महापंचायत आज, कई राज्यों से बड़ी संख्या में पहुंच सकते हैं किसान",संयुक्त किसान मोर्चा ने पहले ही ऐलान कर दिया है कि क़ानून वापसी के ऐलान के बावजूद उनका आंदोलन जारी रहेगा.,"सोमवार नवम्बर 22, 2021 08:03 AM IST",NDTV News,Kisaan Andolan,Neutral,Anti Kisan,
"लखनऊ में सोमवार को बुलाई गई किसान महापंचायत, आगे की रणनीति पर होगी चर्चा","तीनों कृषि कानूनों को निरस्त करने की केंद्र की घोषणा के बावजूद किसान नेताओं का कहना है कि जब तक सरकार न्यूनतम समर्थन मूल्य (एमएसपी) की गारंटी देने वाला कानून नहीं बनाती तथा मंत्री अजय कुमार मिश्रा ''टेनी'' को बर्खास्त नहीं करती, तब तक उनका आंदोलन जारी रहेगा.","रविवार नवम्बर 21, 2021 01:53 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"कृषि कानूनों की वापसी: प्रधानमंत्री जी, तपस्या आपने नहीं, किसानों ने की है...","आज उन 700 किसानों को याद करने का दिन है, जिनके लिए आज भी इस देश के प्रधानमंत्री ने एक शब्द नहीं कहा. क्या आप यकीन कर सकते हैं कि एक आंदोलन के लिए इस देश के सात सौ किसान शहीद हो गए और उस देश के प्रधानमंत्री ने इस एक साल के दौरान एक शब्द नहीं कहा. ","शुक्रवार नवम्बर 19, 2021 10:10 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,
"""देर आए दुरुस्त आए"", कृषि कानून वापसी पर बोले मेघालय के गवर्नर सत्यपाल मलिक","पीएम मोदी ने अपने संबोधन में कहा, ""मैं देशवासियों से माफी मांगता हूं और सच्चे मन से कहना चाहता हूं कि शायद हमारी तपस्या में ही कोई कमी रह गई होगी, जिसके कारण दीये के प्रकाश जैसा सत्य कुछ किसान भाइयों को हम समझा नहीं पाए.""","शुक्रवार नवम्बर 19, 2021 07:31 PM IST",NDTV News,Kisaan Andolan,,,Quote
"कृषि कानून वापसी: चरणजीत सिंह चन्नी बोले, सब कुछ लुटा के होश में आए तो क्या आए...",तीनों कृषि कानून वापस लेने के प्रधानमंत्री के ऐलान पर प्रतिक्रिया देते हुए पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने केंद्र सरकार पर हमला बोला है. उन्होंने कहा कि सरकार ने विश्वास तोड़ा है.,"शुक्रवार नवम्बर 19, 2021 08:11 PM IST",NDTV News,Kisaan Andolan,,,Indirect Speech
कृषि कानून वापसी पर जेडीयू नेता के सी त्यागी ने कहा-शायद कुछ कमी रही होगी...,"जनता दल यूनाइटेड(JDU) के राष्ट्रीय महासचिव केसी त्यागी ने कहा कि नए कृषि कानून को लाने की प्रारंभिक तैयारी में कुछ कमी रही होगी, इसी वजह से आज हमें यह तीनों कृषि कानून वापस लेने पड़ रहे हैं.","शुक्रवार नवम्बर 19, 2021 05:18 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"कृषि कानूनों की वापसी के ऐलान पर छलका कृषि मंत्री नरेंद्र सिंह तोमर का दर्द, कहा- 'दुख है....'","प्रधानमंत्री नरेंद्र मोदी किसानों के जीवन में क्रांतिकारी बदलाव लाना चाहते थे और इसी मंशा से यह तीन कृषि कानून लाए गए थे, लेकिन सरकार किसानों को इन कानूनों के फायदे समझाने में नाकाम रही.","शुक्रवार नवम्बर 19, 2021 03:27 PM IST",NDTV News,Kisaan Andolan,Pro BJP,Neutral,
"ये धोखा है, कल फिर बदल जाएंगे बीजेपी के लोग' : कृषि कानूनों की वापसी पर अखिलेश यादव",प्रधानमंत्री नरेंद्र मोदी ने सुबह 9 बजे देश को संबोधित करते हुए तीनों कृषि कानून वापस लेने की घोषणा की. इन कानूनों के विरोध में काफी समय से देशभर में किसान आंदोलन कर रहे हैं.,"शुक्रवार नवम्बर 19, 2021 08:28 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,Quote
कृषि कानून वापस लेने का फैसला पहले ही कर लेना चाहिए था: मायावती,शुक्रवार को देश को संबोधित करते हुए प्रधानमंत्री नरेंद्र मोदी ने यह ऐलान किया कि सरकार तीनों कृषि कानून वापस लेने जा रही है. इन कानूनों के विरुद्ध किसान कई महीनों से आंदोलन कर रहे थे और उन्होंने दिल्ली के बॉर्डर पर डेरे जमा रखे थे.,"शुक्रवार नवम्बर 19, 2021 01:23 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"कृषि कानूनों की वापसी के ऐलान के बाद केजरीवाल पहुंचे गुरुद्वारा रकाब गंज, बोले- अमर रहेगी किसानों की शहादत",पीएम मोदी ने अपने भाषण में कहा कि सरकार किसानों की वित्तीय स्थिति को बेहतर बनाने के प्रयास कर रही है. हमारी सरकार किसानों के कल्याण के लिए प्रतिबद्ध है.,"शुक्रवार नवम्बर 19, 2021 12:34 PM IST",NDTV News,Kisaan Andolan,Pro BJP,Neutral,Indirect Speech
हार के डर से प्रधानमंत्री नरेंद्र मोदी ने वापस लिए तीनों कृषि कानून: नवाब मलिक,प्रधानमंत्री ने कहा कि उनकी सरकार तीनों कृषि कानून वापस ले रही है. यह वही कानून हैं जिन्हें वापस लेने की मांग करते हुए देशभर के किसान पिछले साल से ही आंदोलन कर रहे थे और अपनी बात मनवाने के लिए सुप्रीम कोर्ट तक भी पहुंचे थे.,"शुक्रवार नवम्बर 19, 2021 12:40 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
Exclusive: बीजेपी को यूपी और लोकसभा चुनाव में नुकसान होगा- NDTV से बोले राज्यपाल सत्यपाल मलिक,सत्यपाल मलिक ने कहा कि चौधरी चरण सिंह कहते थे कि दिल्ली का रास्ता खेतों से होकर गुजरता है. अगर खेत और खेतवाला खुशहाल नहीं तो आपको कामयाबी नहीं मिलेगी. सरकार को सभी जगह नुकसान होगा.,"गुरुवार नवम्बर 18, 2021 08:44 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,
दिल्ली ट्रैक्टर रैली में गिरफ्तार किए गए प्रत्येक प्रदर्शनकारी को देंगे 2 लाख रुपये: पंजाब सरकार,पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने एक ट्वीट करते हुए पुष्टि की कि उनकी सरकार दिल्ली पुलिस द्वारा गिरफ्तार किए गए लोगों को मुआवजा देगी.,"शनिवार नवम्बर 13, 2021 12:56 AM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
किसान आंदोलन : दिल्ली-हरियाणा सड़क का एक हिस्सा 11 महीने बाद खोला गया,टीकरी बॉर्डर पर हजारों किसान तीन कृषि कानूनों के खिलाफ आंदोलन कर रहे हैं. किसान संघ के नेताओं और पुलिस के बीच बैठक के बाद यह मार्ग खोला गया है,"शनिवार अक्टूबर 30, 2021 07:02 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"किसान आंदोलन के 11 महीने पूरे होने पर आज किसान करेंगे देशव्यापी प्रदर्शन, जानें क्या है प्लान?",संयुक्त किसान मोर्चा के आह्वान पर किसान आंदोलन के 11 महीने पूरे होने और लखीमपुर खीरी मामले में केंद्रीय गृह राज्य मंत्री अजय मिश्रा टेनी की बर्खास्तगी एवं गिरफ्तारी की मांग को लेकर आज किसान देशव्यापी प्रदर्शन करेंगे.,"मंगलवार अक्टूबर 26, 2021 11:26 AM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
दुख में शरीक होना इंसानियत और भारतीय संस्कृति' : किसान मोर्चा की कार्रवाई पर बोले योगेंद्र यादव,उन्होंने कहा कि मैं संयुक्त किसान मोर्चा की सामूहिक निर्णय प्रक्रिया का सम्मान करता हूं. इस प्रक्रिया के तहत दी गई सजा को सहर्ष स्वीकार करता हूं. किसान आंदोलन देश के लिए आशा की एक किरण बनकर आया है. इसकी एकता और सामूहिक निर्णय प्रक्रिया को बनाए रखना आज के वक्त की सबसे बड़ी जरूरत है.,"शुक्रवार अक्टूबर 22, 2021 10:04 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
RAIL ROKO Andolan Today: देश में करीब 160 ट्रेनें प्रभावित,rail roko andolan 2021 :किसानों ने लखीमपुर खीरी में किसानों को कुचल कर मारने की घटना और उस मामले में गृह राज्य मंत्री अजय मिश्रा का इस्तीफा मांगते हुए यह रेल रोको आंदोलन करने का ऐलान किया था.,"सोमवार अक्टूबर 18, 2021 07:55 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
किसानों के 'रेल रोको आंदोलन' के दौरान फंसी रहीं पावर प्‍लांट्स को कोयला ले जाने वाली 75 मालगाड़‍ियां...,Rail ROKO 2021 : सोमवार के इस प्रदर्शन के दौरान कोयले की ढुलाई वाली 75 मालगाड़‍ियां फंसकर रह गईं. 150 मालगाड़ी इस विरोध प्रदर्शन के कारण प्रभावित हुईं. रेल रोको आंदोलन के दौरान कोयला ढोने वाली 50 % मालगाड़ी प्रभावित रहीं.,"सोमवार अक्टूबर 18, 2021 07:51 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"किसानों के धरना स्थल पर बिना हाथ-पैर का शव, 'निहंगों' पर शक की सुई: 10 फैक्ट्स",हरियाणा-दिल्ली की सीमा पर किसानों के धरना स्थल पर एक व्यक्ति का बिना हाथ-पैर के मिले शव की गुत्थी उलझती ही जा रही है. बेरहमी से की गई इस हत्या में शक की सुई निहंगों की तरफ जाती दिखाई दे रही है. मामले में अज्ञात लोगों के खिलाफ हत्या का मुकदमा दर्ज किया गया है. देर शाम आरोपी निहंग दल के एक सदस्य ने हत्या की जिम्मेदारी लेते हुए आत्मसमर्पण कर दिया.,"शुक्रवार अक्टूबर 15, 2021 10:24 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"किसानों के प्रदर्शन स्थल पर शख्स की हत्या को लेकर स्वरा भास्कर का ट्वीट, बोलीं- शर्मनाक",दिल्ली-हरियाणा बॉर्डर पर सोनीपत जिले के सिंघु बॉर्डर पर एक युवक की बर्बर तरीके से पीट-पीटकर हत्या कर दी गई. इसे लेकर स्वरा भास्कर ने ट्वीट किया है.,"शुक्रवार अक्टूबर 15, 2021 12:51 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,Tweet
किसी की भी आत्मा को झकझोर देगा'- लखीमपुर खीरी का वायरल वीडियो शेयर कर बोले BJP सांसद वरुण गांधी,"सांसद वरुण गांधी ने वो वायरल वीडियो शेयर किया है, जिसे कथित रूप से लखीमपुर खीरी का बताया जा रहा है. इसके साथ ही उन्होंने ट्वीट कर आरोपियों की गिरफ्तारी की मांग की.","मंगलवार अक्टूबर 5, 2021 12:42 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
"आपने पूरे शहर का गला घोंट दिया, अब शहर के भीतर आना चाहते हैं : किसानों को SC की फटकार",जंतर-मंतर पर धरने की इजाजत की मांग वाली किसान महापंचायत की याचिका पर सुप्रीम कोर्ट ने शुक्रवार को कहा कि क्या शहर के लोग अपना बिजनेस बंद कर दें? क्या लोग शहर में धरने से खुश होंगे? आप हाइवे जाम करते हैं और फिर कहते हैं कि विरोध शांतिपूर्ण है.,"शुक्रवार अक्टूबर 1, 2021 12:19 PM IST",NDTV News,Kisaan Andolan,Neutral,Anti Kisan,Indirect Speech
"Farmers Protest: किसानों का भारत बंद आज, कांग्रेस समेत कई दल आए समर्थन में",Bharat Bandh: केंद्र के तीन कृषि कानूनों के खिलाफ किसान संगठनों ने आज सोमवार को भारत बंद का आह्वान किया है.,"सोमवार सितम्बर 27, 2021 01:29 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,
"सरसों, मसूर समेत दलहन फसलों के एमएसपी में रिकॉर्ड बढ़ोतरी, मोदी कैबिनेट का अहम फैसला","दलहन औऱ तिलहन फसलों के न्यूनतम समर्थन मूल्य में बड़ी बढ़ोतरी के पीछे वजह इनकी देश में कम उत्पादन और बढ़ती मांग को माना जा रहा है. सरसों तेल के दाम इन दिनों आसमान छू रहे हैं. विपक्षी दलों की ओर से आलोचना की जाती रही है कि एक और खाद्य तेलों के दाम ऊंचाई पर हैं, लेकिन तिलहन का एमएसपी नहीं बढ़ाया जा रहा है. ","बुधवार सितम्बर 8, 2021 03:48 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
"रबी फसलों का MSP बढ़ाया गया, कैबिनेट ने कपड़ा उद्योग के लिए प्रोत्साहन नीति को मंजूरी दी",कैबिनेट ने वस्त्र (Textile) उद्योग के लिए  प्रोडक्शन लिंक्ड इनसेंटिव ( PLI)  यानी उत्पादन संबंधी प्रोत्साहन नीति को भी हरी झंडी दिखा दी है.इस क्षेत्र के 10 अलग अलग उत्पादों के लिए अगले 5 साल तक 10600 करोड़ से ज्यादा का पैकेज दिया जाए.,"गुरुवार सितम्बर 9, 2021 12:44 AM IST",NDTV News,Kisaan Andolan,Pro BJP,Neutral,
लखनऊ को दिल्ली बना देंगे' : किसानों ने CM योगी को दी चुनौती,देश की राजधानी दिल्ली की सीमाओं पर किसान केंद्र सरकार के तीनों कृषि कानूनों के विरोध में 26 नवंबर 2020 से आंदोलन पर बैठे हुए हैं.,"सोमवार जुलाई 26, 2021 07:47 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
"Haryana News: जींद के खटकड़ टोल पर पहुंचे ओमप्रकाश चौटाला, नहीं दिया माइक",एक अन्य कार्यक्रम में खाप के प्रधान ओमप्रकाश कंडेला ने प्रधानमंत्री नरेंद्र मोदी और प्रदेश के मुख्यमंत्री मनोहर लाल खट्टर को किसान एवं मजदूर विरोधी बताया .,"सोमवार जुलाई 26, 2021 06:33 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
"Himanshi Khurana ने 'पोहा' के बहाने किया कटाक्ष, किसानों पर बोलीं- क्या पता चावल फैक्टरी में भी बन जाएं...",हिमांशी खुराना (Himanshi Khurana) ने पोहे की फोटो शेयर कर लोगों से यह सवाल पूछा है.,"गुरुवार मार्च 25, 2021 01:14 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,
"देशभर में किसान महापंचायतें कर रहे राकेश टिकैत ने कहा - फिर दिल्ली में घुसना होगा, बैरिकेड तोड़ने होंगे",जयपुर में मंगलवार को किसान महापंचायत में राकेश टिकैत ने केन्द्र पर निशाना साधते हुए कहा कि सरकार लोगों को जाति-धर्म में बांटा लेकिन अब अन्नदाता बंटने वाले नहीं हैं.,"बुधवार मार्च 24, 2021 02:39 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
क्या किसान आंदोलन पश्चिमी यूपी में दंगों के दाग मिटा पाएगा?,"किसान आंदोलन के नेता अगर चाहते हैं कि प्रधानमंत्री उनसे बात करें तो उन्हें महापंचायत का आयोजन नहीं करना चाहिए. उन्हें किसान महापंचायतों की जगह कबड्डी, खो-खो, हॉकी का आयोजन करना चाहिए ताकि इन खेलों में विजय प्राप्त करते ही विजयी किसान नेताओं को प्रधानमंत्री का फोन आ जाए और फिर उस बातचीत का वीडियो न्यूज़ चैनलों पर भी ख़ूब चलेगा. यह प्रसंग इसलिए आया कि खिलाड़ियों के लिए सुलभ प्रधानमंत्री किसानों के लिए कितने दुर्लभ हो गए हैं. नौ महीने से अनगिनत महापंचायतों, धरना-प्रदर्शनों और किसान संसद के आयोजन के बाद भी प्रधानमंत्री मोदी की किसान नेताओं से बात नहीं हुई जबकि उन्होंने कहा था कि वे एक कॉल की दूरी पर हैं. कभी कुछ किसानों का आंदोलन तो कभी बड़े किसानों का आंदोलन बता कर इस आंदोलन को खारिज करने के बाद किसान हर बार अपनी रैलियों के ज़रिए बता रहे हैं कि उनका आंदोलन किसका है. ","मंगलवार सितम्बर 7, 2021 01:05 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,
"देशभर के 300 किसान संगठनों की महापंचायत, चप्पे-चप्पे पर पुलिस तैनात; मिशन UP की होगी शुरुआत- 10 अहम बातें","पश्चिमी यूपी के मुजफ्फरनगर में आज किसानों ने एक बड़ी महापंचायत बुलाई है. इसमें देशभर के 15 राज्यों के 300 किसान संगठनों से जुड़े लोग हिस्सा लेंगे. किसानों की महापंचायत को देखते हुए यूपी पुलिस ने वहां कानून-व्यवस्था सुनिश्चित करने के लिए सुरक्षा कड़ी कर दी है. पुलिस सूत्रों ने बताया कि मुजफ्फरनगर में 8000 से ज्यादा पुलिस और पैरा मिलिट्री के जवान तैनात किए गए हैं. किसान नेताओं का दावा है कि महापंचायत में दस लाख से ज्यादा किसान शामिल होंगे. किसान नेताओं ने कहा है कि उत्तर प्रदेश विधान सभा चुनाव से पहले हो रही इस महापंचायत में मिशन यूपी की शुरुआत होगी, जिसके तहत किसान राज्यभर में जाकर बीजेपी का विरोध करेंगे.","रविवार सितम्बर 5, 2021 08:28 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
सरकार अब लाठी मारने पर उतर आई है': करनाल में किसानों पर हुए लाठीचार्ज पर बोले योगेंद्र यादव,हरियाणा के करनाल में किसानों पर हुए लाठीचार्ज को लेकर योगेंद्र यादव ने केंद्र सरकार पर निशाना साधा है. उन्होंने कहा कि सरकार अब लाठी मारने पर उतर आई है.,"गुरुवार सितम्बर 2, 2021 05:32 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
