,news_title,news_details,news_date,source_name,event
19,"राकेश टिकैत की दो टूक, 'किसानों के सारे मुद्दों के हल तक जारी रहेगा आंदोलन'","भारतीय किसान यूनियन (BKU) के राष्ट्रीय प्रवक्ता राकेश टिकैत ने साफ कहा है कि सारे मुद्दों के हल तक किसानों का आंदोलन खत्‍म नहीं होगा. NDTV से बात करते हुए टिकैत ने कहा कि सरकार बातचीत से पीछे क्‍यों हट रही है.  जब तक बातचीत नहीं होगी, समाधान नहीं होगा, हमारा आंदोलन जारी रहेगा.","सोमवार दिसम्बर 6, 2021 07:07 PM IST",NDTV News,Kisaan Andolan
20,"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan
21,"किसान आंदोलन का एक साल, कहीं चुनाव राजनीति या वर्चस्व की लड़ाई में न बिखर जाए","आज किसान आंदोलन का एक साल पूरा हुआ है. कानून वापसी के लिए शुरू हुआ यह आंदोलन किसानों को किसान बना गया. इस एक साल के दौरान किसानों ने उस पहचान को जी भरकर जिया है, जिसे किसान कहते हैं.","शुक्रवार नवम्बर 26, 2021 11:16 PM IST",NDTV News,Kisaan Andolan
22,"बॉर्डर पर 'रास्ता खोलो' आंदोलन, यूपी-दिल्ली हाईवे खुलवाने के लिए अपार्टमेंट वाले करेंगे अभियान",फेडरेशन की ओर से जारी निर्देशानुसार किसानों का ध्यान अपनी समस्याओं की ओर आकर्षित करने के लिए यहां से पैदल यात्रा निकाली जाएगी. इस आंदोलन का मकसद किसानों से राजमार्ग खोलने के लिए अपील करना है ताकि शहर में आवाजाही सामान्य हो सके.,"शुक्रवार नवम्बर 26, 2021 06:24 PM IST",NDTV News,Kisaan Andolan
23,किसान आंदोलन का नेतृत्व करने के लिए यूपी के मंत्री और BJP एमएलए पर चलेगा मुकदमा ,यूपी में 2012 में हुए एक किसान आंदोलन ( Kisan Andolan) के दौरान कथित तौर पर ट्रेन को रोकने के मामले में बीजेपी नेता और यूपी सरकार के मंत्री की ही मुश्किलें बढ़ने वाली हैं. इस मामले में  मंत्री कपिल अग्रवाल सहित आठ BJP नेताओं पर मंगलवार को मुजफ्फरनगर की एक विशेष कोर्ट ने मुकदमा शुरू किया था.,"बुधवार नवम्बर 24, 2021 12:11 AM IST",NDTV News,Kisaan Andolan
24,"लखनऊ में किसान महापंचायत आज, कई राज्यों से बड़ी संख्या में पहुंच सकते हैं किसान",संयुक्त किसान मोर्चा ने पहले ही ऐलान कर दिया है कि क़ानून वापसी के ऐलान के बावजूद उनका आंदोलन जारी रहेगा.,"सोमवार नवम्बर 22, 2021 08:03 AM IST",NDTV News,Kisaan Andolan
25,"लखनऊ में सोमवार को बुलाई गई किसान महापंचायत, आगे की रणनीति पर होगी चर्चा","तीनों कृषि कानूनों को निरस्त करने की केंद्र की घोषणा के बावजूद किसान नेताओं का कहना है कि जब तक सरकार न्यूनतम समर्थन मूल्य (एमएसपी) की गारंटी देने वाला कानून नहीं बनाती तथा मंत्री अजय कुमार मिश्रा ''टेनी'' को बर्खास्त नहीं करती, तब तक उनका आंदोलन जारी रहेगा.","रविवार नवम्बर 21, 2021 01:53 PM IST",NDTV News,Kisaan Andolan
26,"कृषि कानूनों की वापसी: प्रधानमंत्री जी, तपस्या आपने नहीं, किसानों ने की है...","आज उन 700 किसानों को याद करने का दिन है, जिनके लिए आज भी इस देश के प्रधानमंत्री ने एक शब्द नहीं कहा. क्या आप यकीन कर सकते हैं कि एक आंदोलन के लिए इस देश के सात सौ किसान शहीद हो गए और उस देश के प्रधानमंत्री ने इस एक साल के दौरान एक शब्द नहीं कहा. ","शुक्रवार नवम्बर 19, 2021 10:10 PM IST",NDTV News,Kisaan Andolan
27,"""देर आए दुरुस्त आए"", कृषि कानून वापसी पर बोले मेघालय के गवर्नर सत्यपाल मलिक","पीएम मोदी ने अपने संबोधन में कहा, ""मैं देशवासियों से माफी मांगता हूं और सच्चे मन से कहना चाहता हूं कि शायद हमारी तपस्या में ही कोई कमी रह गई होगी, जिसके कारण दीये के प्रकाश जैसा सत्य कुछ किसान भाइयों को हम समझा नहीं पाए.""","शुक्रवार नवम्बर 19, 2021 07:31 PM IST",NDTV News,Kisaan Andolan
28,"कृषि कानून वापसी: चरणजीत सिंह चन्नी बोले, सब कुछ लुटा के होश में आए तो क्या आए...",तीनों कृषि कानून वापस लेने के प्रधानमंत्री के ऐलान पर प्रतिक्रिया देते हुए पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने केंद्र सरकार पर हमला बोला है. उन्होंने कहा कि सरकार ने विश्वास तोड़ा है.,"शुक्रवार नवम्बर 19, 2021 08:11 PM IST",NDTV News,Kisaan Andolan
29,कृषि कानून वापसी पर जेडीयू नेता के सी त्यागी ने कहा-शायद कुछ कमी रही होगी...,"जनता दल यूनाइटेड(JDU) के राष्ट्रीय महासचिव केसी त्यागी ने कहा कि नए कृषि कानून को लाने की प्रारंभिक तैयारी में कुछ कमी रही होगी, इसी वजह से आज हमें यह तीनों कृषि कानून वापस लेने पड़ रहे हैं.","शुक्रवार नवम्बर 19, 2021 05:18 PM IST",NDTV News,Kisaan Andolan
30,"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan
31,"किसान आंदोलन का एक साल, कहीं चुनाव राजनीति या वर्चस्व की लड़ाई में न बिखर जाए","आज किसान आंदोलन का एक साल पूरा हुआ है. कानून वापसी के लिए शुरू हुआ यह आंदोलन किसानों को किसान बना गया. इस एक साल के दौरान किसानों ने उस पहचान को जी भरकर जिया है, जिसे किसान कहते हैं.","शुक्रवार नवम्बर 26, 2021 11:16 PM IST",NDTV News,Kisaan Andolan
32,"बॉर्डर पर 'रास्ता खोलो' आंदोलन, यूपी-दिल्ली हाईवे खुलवाने के लिए अपार्टमेंट वाले करेंगे अभियान",फेडरेशन की ओर से जारी निर्देशानुसार किसानों का ध्यान अपनी समस्याओं की ओर आकर्षित करने के लिए यहां से पैदल यात्रा निकाली जाएगी. इस आंदोलन का मकसद किसानों से राजमार्ग खोलने के लिए अपील करना है ताकि शहर में आवाजाही सामान्य हो सके.,"शुक्रवार नवम्बर 26, 2021 06:24 PM IST",NDTV News,Kisaan Andolan
33,किसान आंदोलन का नेतृत्व करने के लिए यूपी के मंत्री और BJP एमएलए पर चलेगा मुकदमा ,यूपी में 2012 में हुए एक किसान आंदोलन ( Kisan Andolan) के दौरान कथित तौर पर ट्रेन को रोकने के मामले में बीजेपी नेता और यूपी सरकार के मंत्री की ही मुश्किलें बढ़ने वाली हैं. इस मामले में  मंत्री कपिल अग्रवाल सहित आठ BJP नेताओं पर मंगलवार को मुजफ्फरनगर की एक विशेष कोर्ट ने मुकदमा शुरू किया था.,"बुधवार नवम्बर 24, 2021 12:11 AM IST",NDTV News,Kisaan Andolan
34,"लखनऊ में किसान महापंचायत आज, कई राज्यों से बड़ी संख्या में पहुंच सकते हैं किसान",संयुक्त किसान मोर्चा ने पहले ही ऐलान कर दिया है कि क़ानून वापसी के ऐलान के बावजूद उनका आंदोलन जारी रहेगा.,"सोमवार नवम्बर 22, 2021 08:03 AM IST",NDTV News,Kisaan Andolan
35,"लखनऊ में सोमवार को बुलाई गई किसान महापंचायत, आगे की रणनीति पर होगी चर्चा","तीनों कृषि कानूनों को निरस्त करने की केंद्र की घोषणा के बावजूद किसान नेताओं का कहना है कि जब तक सरकार न्यूनतम समर्थन मूल्य (एमएसपी) की गारंटी देने वाला कानून नहीं बनाती तथा मंत्री अजय कुमार मिश्रा ''टेनी'' को बर्खास्त नहीं करती, तब तक उनका आंदोलन जारी रहेगा.","रविवार नवम्बर 21, 2021 01:53 PM IST",NDTV News,Kisaan Andolan
36,"कृषि कानूनों की वापसी: प्रधानमंत्री जी, तपस्या आपने नहीं, किसानों ने की है...","आज उन 700 किसानों को याद करने का दिन है, जिनके लिए आज भी इस देश के प्रधानमंत्री ने एक शब्द नहीं कहा. क्या आप यकीन कर सकते हैं कि एक आंदोलन के लिए इस देश के सात सौ किसान शहीद हो गए और उस देश के प्रधानमंत्री ने इस एक साल के दौरान एक शब्द नहीं कहा. ","शुक्रवार नवम्बर 19, 2021 10:10 PM IST",NDTV News,Kisaan Andolan
37,"""देर आए दुरुस्त आए"", कृषि कानून वापसी पर बोले मेघालय के गवर्नर सत्यपाल मलिक","पीएम मोदी ने अपने संबोधन में कहा, ""मैं देशवासियों से माफी मांगता हूं और सच्चे मन से कहना चाहता हूं कि शायद हमारी तपस्या में ही कोई कमी रह गई होगी, जिसके कारण दीये के प्रकाश जैसा सत्य कुछ किसान भाइयों को हम समझा नहीं पाए.""","शुक्रवार नवम्बर 19, 2021 07:31 PM IST",NDTV News,Kisaan Andolan
38,"कृषि कानून वापसी: चरणजीत सिंह चन्नी बोले, सब कुछ लुटा के होश में आए तो क्या आए...",तीनों कृषि कानून वापस लेने के प्रधानमंत्री के ऐलान पर प्रतिक्रिया देते हुए पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने केंद्र सरकार पर हमला बोला है. उन्होंने कहा कि सरकार ने विश्वास तोड़ा है.,"शुक्रवार नवम्बर 19, 2021 08:11 PM IST",NDTV News,Kisaan Andolan
39,कृषि कानून वापसी पर जेडीयू नेता के सी त्यागी ने कहा-शायद कुछ कमी रही होगी...,"जनता दल यूनाइटेड(JDU) के राष्ट्रीय महासचिव केसी त्यागी ने कहा कि नए कृषि कानून को लाने की प्रारंभिक तैयारी में कुछ कमी रही होगी, इसी वजह से आज हमें यह तीनों कृषि कानून वापस लेने पड़ रहे हैं.","शुक्रवार नवम्बर 19, 2021 05:18 PM IST",NDTV News,Kisaan Andolan
40,"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan
41,"किसान आंदोलन का एक साल, कहीं चुनाव राजनीति या वर्चस्व की लड़ाई में न बिखर जाए","आज किसान आंदोलन का एक साल पूरा हुआ है. कानून वापसी के लिए शुरू हुआ यह आंदोलन किसानों को किसान बना गया. इस एक साल के दौरान किसानों ने उस पहचान को जी भरकर जिया है, जिसे किसान कहते हैं.","शुक्रवार नवम्बर 26, 2021 11:16 PM IST",NDTV News,Kisaan Andolan
42,"बॉर्डर पर 'रास्ता खोलो' आंदोलन, यूपी-दिल्ली हाईवे खुलवाने के लिए अपार्टमेंट वाले करेंगे अभियान",फेडरेशन की ओर से जारी निर्देशानुसार किसानों का ध्यान अपनी समस्याओं की ओर आकर्षित करने के लिए यहां से पैदल यात्रा निकाली जाएगी. इस आंदोलन का मकसद किसानों से राजमार्ग खोलने के लिए अपील करना है ताकि शहर में आवाजाही सामान्य हो सके.,"शुक्रवार नवम्बर 26, 2021 06:24 PM IST",NDTV News,Kisaan Andolan
43,किसान आंदोलन का नेतृत्व करने के लिए यूपी के मंत्री और BJP एमएलए पर चलेगा मुकदमा ,यूपी में 2012 में हुए एक किसान आंदोलन ( Kisan Andolan) के दौरान कथित तौर पर ट्रेन को रोकने के मामले में बीजेपी नेता और यूपी सरकार के मंत्री की ही मुश्किलें बढ़ने वाली हैं. इस मामले में  मंत्री कपिल अग्रवाल सहित आठ BJP नेताओं पर मंगलवार को मुजफ्फरनगर की एक विशेष कोर्ट ने मुकदमा शुरू किया था.,"बुधवार नवम्बर 24, 2021 12:11 AM IST",NDTV News,Kisaan Andolan
44,"लखनऊ में किसान महापंचायत आज, कई राज्यों से बड़ी संख्या में पहुंच सकते हैं किसान",संयुक्त किसान मोर्चा ने पहले ही ऐलान कर दिया है कि क़ानून वापसी के ऐलान के बावजूद उनका आंदोलन जारी रहेगा.,"सोमवार नवम्बर 22, 2021 08:03 AM IST",NDTV News,Kisaan Andolan
45,"लखनऊ में सोमवार को बुलाई गई किसान महापंचायत, आगे की रणनीति पर होगी चर्चा","तीनों कृषि कानूनों को निरस्त करने की केंद्र की घोषणा के बावजूद किसान नेताओं का कहना है कि जब तक सरकार न्यूनतम समर्थन मूल्य (एमएसपी) की गारंटी देने वाला कानून नहीं बनाती तथा मंत्री अजय कुमार मिश्रा ''टेनी'' को बर्खास्त नहीं करती, तब तक उनका आंदोलन जारी रहेगा.","रविवार नवम्बर 21, 2021 01:53 PM IST",NDTV News,Kisaan Andolan
46,"कृषि कानूनों की वापसी: प्रधानमंत्री जी, तपस्या आपने नहीं, किसानों ने की है...","आज उन 700 किसानों को याद करने का दिन है, जिनके लिए आज भी इस देश के प्रधानमंत्री ने एक शब्द नहीं कहा. क्या आप यकीन कर सकते हैं कि एक आंदोलन के लिए इस देश के सात सौ किसान शहीद हो गए और उस देश के प्रधानमंत्री ने इस एक साल के दौरान एक शब्द नहीं कहा. ","शुक्रवार नवम्बर 19, 2021 10:10 PM IST",NDTV News,Kisaan Andolan
47,"""देर आए दुरुस्त आए"", कृषि कानून वापसी पर बोले मेघालय के गवर्नर सत्यपाल मलिक","पीएम मोदी ने अपने संबोधन में कहा, ""मैं देशवासियों से माफी मांगता हूं और सच्चे मन से कहना चाहता हूं कि शायद हमारी तपस्या में ही कोई कमी रह गई होगी, जिसके कारण दीये के प्रकाश जैसा सत्य कुछ किसान भाइयों को हम समझा नहीं पाए.""","शुक्रवार नवम्बर 19, 2021 07:31 PM IST",NDTV News,Kisaan Andolan
48,"कृषि कानून वापसी: चरणजीत सिंह चन्नी बोले, सब कुछ लुटा के होश में आए तो क्या आए...",तीनों कृषि कानून वापस लेने के प्रधानमंत्री के ऐलान पर प्रतिक्रिया देते हुए पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने केंद्र सरकार पर हमला बोला है. उन्होंने कहा कि सरकार ने विश्वास तोड़ा है.,"शुक्रवार नवम्बर 19, 2021 08:11 PM IST",NDTV News,Kisaan Andolan
49,कृषि कानून वापसी पर जेडीयू नेता के सी त्यागी ने कहा-शायद कुछ कमी रही होगी...,"जनता दल यूनाइटेड(JDU) के राष्ट्रीय महासचिव केसी त्यागी ने कहा कि नए कृषि कानून को लाने की प्रारंभिक तैयारी में कुछ कमी रही होगी, इसी वजह से आज हमें यह तीनों कृषि कानून वापस लेने पड़ रहे हैं.","शुक्रवार नवम्बर 19, 2021 05:18 PM IST",NDTV News,Kisaan Andolan
50,"सिंघु बॉर्डर पर संयुक्त किसान मोर्चे की बैठक शुरू, आंदोलन की आगे की रणनीति पर हो रही है चर्चा",बैठक से पहले किसान नेता डॉ सतनाम सिंह ने कहा कि अभी  एमएसपी (MSP) की गारंटी के मुद्दे पर कोई आश्वासन नहीं मिला है.आज हम कमेटी के लिए पांच नाम तय कर देंगे.,"शनिवार दिसम्बर 4, 2021 01:47 PM IST",NDTV News,Kisaan Andolan
51,"किसान आंदोलन का एक साल, कहीं चुनाव राजनीति या वर्चस्व की लड़ाई में न बिखर जाए","आज किसान आंदोलन का एक साल पूरा हुआ है. कानून वापसी के लिए शुरू हुआ यह आंदोलन किसानों को किसान बना गया. इस एक साल के दौरान किसानों ने उस पहचान को जी भरकर जिया है, जिसे किसान कहते हैं.","शुक्रवार नवम्बर 26, 2021 11:16 PM IST",NDTV News,Kisaan Andolan
52,"बॉर्डर पर 'रास्ता खोलो' आंदोलन, यूपी-दिल्ली हाईवे खुलवाने के लिए अपार्टमेंट वाले करेंगे अभियान",फेडरेशन की ओर से जारी निर्देशानुसार किसानों का ध्यान अपनी समस्याओं की ओर आकर्षित करने के लिए यहां से पैदल यात्रा निकाली जाएगी. इस आंदोलन का मकसद किसानों से राजमार्ग खोलने के लिए अपील करना है ताकि शहर में आवाजाही सामान्य हो सके.,"शुक्रवार नवम्बर 26, 2021 06:24 PM IST",NDTV News,Kisaan Andolan
53,किसान आंदोलन का नेतृत्व करने के लिए यूपी के मंत्री और BJP एमएलए पर चलेगा मुकदमा ,यूपी में 2012 में हुए एक किसान आंदोलन ( Kisan Andolan) के दौरान कथित तौर पर ट्रेन को रोकने के मामले में बीजेपी नेता और यूपी सरकार के मंत्री की ही मुश्किलें बढ़ने वाली हैं. इस मामले में  मंत्री कपिल अग्रवाल सहित आठ BJP नेताओं पर मंगलवार को मुजफ्फरनगर की एक विशेष कोर्ट ने मुकदमा शुरू किया था.,"बुधवार नवम्बर 24, 2021 12:11 AM IST",NDTV News,Kisaan Andolan
